01-01-2023 12:32,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),5480
02-01-2023 13:01,Arctic Monkeys,505,5120
02-01-2023 13:04,The Score,On And On,215706
02-01-2023 13:08,Fall Out Boy,Immortals,189386
02-01-2023 13:11,Sun Goes Down,Glad You Came,198134
02-01-2023 13:15,Imagine Dragons,Demons,177506
02-01-2023 13:15,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),5631
02-01-2023 13:19,Panic! At The Disco,House of Memories,208706
02-01-2023 13:22,Twenty One Two,Drag Me Down,170500
02-01-2023 13:25,Avicii,The Nights,176658
02-01-2023 13:28,Fall Out Boy,Centuries,228360
02-01-2023 13:32,The Score,Money Run Low,185466
02-01-2023 16:09,The Score,On And On,215706
02-01-2023 16:12,Fall Out Boy,Immortals,189386
02-01-2023 16:16,Sun Goes Down,Glad You Came,198134
02-01-2023 16:17,Sun Goes Down,Glad You Came,0
02-01-2023 16:17,Sun Goes Down,Glad You Came,3370
02-01-2023 16:17,Fall Out Boy,Immortals,630
02-01-2023 16:17,Imagine Dragons,Demons,1660
02-01-2023 16:17,Imagine Dragons,Demons,5807
02-01-2023 16:17,Panic! At The Disco,House of Memories,2070
02-01-2023 16:17,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),1260
02-01-2023 16:21,Twenty One Two,Drag Me Down,170500
02-01-2023 16:24,Avicii,The Nights,176658
02-01-2023 16:28,Fall Out Boy,Centuries,228360
02-01-2023 17:29,The Score,Money Run Low,185466
03-01-2023 12:23,Rick Astley,Never Gonna Give You Up,1570
03-01-2023 12:23,OneRepublic,I Ain't Worried,980
03-01-2023 12:23,The Score,On And On,1300
03-01-2023 12:23,The Score,On And On,5860
03-01-2023 12:23,AJR,100 Bad Days,220
03-01-2023 12:23,Fall Out Boy,Immortals,1100
03-01-2023 12:23,Charlie Puth,Attention,4410
03-01-2023 12:23,Black Sabbath,Iron Man,2860
03-01-2023 12:23,Eminem,The Real Slim Shady,2510
03-01-2023 12:23,Twenty One Pilots,Heathens,670
03-01-2023 12:23,The Score,Stronger,2420
03-01-2023 12:24,Twenty One Pilots,Stressed Out,1930
03-01-2023 12:24,Arctic Monkeys,Old Yellow Bricks,50710
03-01-2023 12:25,Toby Fox,Fallen Down,3740
03-01-2023 12:25,Toby Fox,Death By Glamour,53730
03-01-2023 12:43,Toby Fox,Hopes And Dreams,20090
03-01-2023 16:07,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,173381
03-01-2023 16:11,The Score,Revolution,231986
03-01-2023 16:15,The Chainsmokers,Something Just Like This,247626
03-01-2023 16:18,The Score,Unstoppable,192106
03-01-2023 16:21,Arctic Monkeys,Old Yellow Bricks,193226
03-01-2023 16:25,Aperture Science Psychoacoustic Laboratories,Still Alive,177212
03-01-2023 16:28,The Score,Fighter,156666
03-01-2023 16:29,R. City,Locked Away (feat. Adam Levine),38637
03-01-2023 16:32,Arctic Monkeys,Fluorescent Adolescent,183893
03-01-2023 16:32,Twenty One Pilots,Heathens,17016
03-01-2023 16:35,Harry Styles,As It Was,167303
03-01-2023 16:39,Shawn Mendes,There's Nothing Holdin' Me Back,199440
03-01-2023 16:42,Sun Goes Down,Glad You Came,198134
03-01-2023 16:46,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),217706
03-01-2023 16:49,Avicii,The Nights,176658
04-01-2023 12:22,WALK THE MOON,Shut Up and Dance,199080
04-01-2023 17:54,Maroon 5,Moves Like Jagger,202640
04-01-2023 17:57,The Score,Stronger,190048
04-01-2023 18:01,Maroon 5,Payphone,231173
05-01-2023 13:09,Marshmello,Happier,54323
05-01-2023 15:21,Marshmello,Happier,159960
05-01-2023 15:25,Arctic Monkeys,505,253586
05-01-2023 15:29,Maroon 5,Payphone,231173
05-01-2023 15:32,Arctic Monkeys,Why'd You Only Call Me When You're High?,161123
05-01-2023 15:35,Nathan Dawe,Lighter (feat. KSI),182439
05-01-2023 15:39,Imagine Dragons,Demons,177506
